decor type;3a;3b;n;decor description
C;30;53;83;cord decor
Ch;3;5;8;single channel
Ci-2;3;13;16;cord impression
cr6;6;17;23;twisted cord roulette
erod;13;25;38;eroded
fi;9;7;16;finger impressions
mch;2;5;7;multiple channels
OI;;2;2;fingernail impression
pbc;;9;9;paint white cross-hatch
pbl;1;23;24;paint white line
pbt;;1;1;paint whitetriangle
pbw;;18;18;paint white wash
pe1;3;2;5;dragged comb linear
pe4;;1;1;dragged comb geometric
pfi3;33;51;84;impressed cord-wrapped
pfi4;1;1;2;impressed cord-wrapped
cwsgi;4;99;103;impressed cord-wrapped stick
pfr1;;2;2;cord-wrapped roulette
pnl;;8;8;paint black line
pnw;;1;1;paint black wash
prl;;1;1;paint red line
prw;4;33;37;paint-red wash
si3;1;4;5;incised dashed lines
si4;1;2;3;incised geometric
st2;;2;2;punctate circular
st4;;1;1;sideways stylus impression
