"";"Site";"braided_cord_roulette";"folded_strip_roulette";"twisted_cord_roulette";"channel";"paint";"straight_mat_impression";"carved_wooden_roulette";"braided_strip_roulette";"incised";"finger_impression";"twisted_cord_roulette?";"dragged_comb";"applied_plastic";"slip";"cord_wrapped_roulette";"cord_wrapped_impression";"impressed_stick";"unidentified_roulette";"nonparallel_grooves";"impressed_comb";"finger_arcs";"punctate";"cord";"cord_wrapped_stick_roulette";"applied_ridges";"dragged_organics";"fish_spine_roulette";"knotted_cord_roulette"
"1";"Akumbu12";36,0902255639098;7,5187969924812;30,8270676691729;24,812030075188;0,75187969924812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";"Ambere-Dougon";0;0;1;0;0;18;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"Damassogou";18;0;0;0;0;85;3;55;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"Doupwil";29;23;0;3;6;0;0;0;14;0;3;20;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"Essouk";0;0;5,11111111111111;3,33333333333333;22;0;0;0;2,44444444444444;4;0;1,33333333333333;0;0;0,444444444444444;42;0;0;0;0;0;0;0;0;0;0;0;0
"6";"Galia";45;6;9;0;4;0;0;0;23;14;0;25;2;71;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"7";"Gao12";0;2,05371248025276;6,87203791469194;34,044233807267;24,1706161137441;0,394944707740916;0;0;0;0;0;1,18483412322275;0;0;13,8230647709321;0;0;17,4565560821485;0;0;0;0;0;0;0;0;0;0
"8";"Jenne-jeno_12";52,4475524475525;5,5944055944056;4,1958041958042;32,1678321678322;11,1888111888112;0;0;0;0;0;0;10,4895104895105;0,699300699300699;0;0;0;0;0;1,3986013986014;2,7972027972028;2,0979020979021;1,3986013986014;0;0;0;0;0;0
"9";"Kokolo";1,68;83,19;11,76;0;0;0;0;0;0;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"Mara12";18,359375;13,671875;16,6015625;9,1796875;0;0;0;0;0;0,9765625;0;0,5859375;0;0;0;0;0;0;0;0,5859375;0;0;0;0;0;0;0;0
"11";"Ounjougou12";0;0;34,7826086956522;0;0;0;0;56,5217391304348;4,34782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;4,34782608695652;0;0;0;0;0
"12";"Sadia12";3,21357779780292;3,58052459233288;0;0;0;27,5232953599671;0;45,3761960964961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,73885397935116;0;0;0;0
"13";"Shoma12";7,26172466;53,2526475;6,354009077;17,54916793;3,479576399;0;0;0;0;0,15128593;0;0,15128593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"TMD12";8,39160839160839;5,59440559440559;13,986013986014;7,69230769230769;35,6643356643357;2,0979020979021;0;0;2,7972027972028;0;0;10,4895104895105;0;0;0;0;0;0;0;0;0;0;0;2,7972027972028;0,699300699300699;41,2587412587413;0;0
"15";"Togu";2,7027027027027;45,2702702702703;0,675675675675676;26,3513513513514;5,40540540540541;0;0;0;0;0;0;0;2,02702702702703;0;0;0;0;0;0;0;0;0;0;0;0,675675675675676;0;2,02702702702703;0
"16";"Sanga D";1,75438596491228;0;45,6140350877193;38,5964912280702;0;0;0;5,26315789473684;5,26315789473684;0;0;19,2982456140351;0;0;29,8245614035088;0;0;0;0;0;0;0;0;0;12,280701754386;3,50877192982456;0;5,26315789473684
