site,braided_cord_roulette,braided_strip_roulette,carved_roulette,cord_wrapped_roulette,dragged_comb,folded_strip_roulette,impressed_comb,incised,paint,slip,straight_cord_mat,twisted_cord_roulette,vegetal_roulette,applied_elements,diagonal_fibre_mat,red_slip,impression_comb,channel,cord_wrapped_impressed,dragged_organic,impressed_grid,knotted_cord_roulette,looped_cord_roulette,perforation,punctate_impression,twisted_cord_impressed,eroded,red_slip_burnish,unknown_roulette,unknown_decor
Dia-Mara 3,0.480769230769231,NA,NA,NA,50.480769230769226,16.8269230769231,NA,12.9807692307692,2.88461538461538,NA,NA,16.3461538461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dia-Shoma 3,NA,NA,NA,6.37958532695375,6.379585326953747,42.1052631578947,NA,20.0956937799043,22.488038277512,NA,NA,2.5518341307815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAMB 3,25.6170212765957,NA,NA,0.0851063829787234,9.361702127659575,38.2978723404255,NA,NA,2.29787234042553,19.2340425531915,NA,5.1063829787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J-J 3,21.6977225672878,NA,NA,0.538302277432712,7.82608695652174,44.6376811594203,0.041407867494824016,0.041407867494824,3.31262939958592,15.8178053830228,NA,6.08695652173913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KWZ H,5.08788159111933,NA,NA,NA,13.043478260869565,NA,NA,0.185013876040703,11.3783533765032,47.641073080481,NA,22.6641998149861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OUN T4.2,NA,52.94117647058824,NA,NA,NA,23.5294117647059,NA,5.88235294117647,NA,NA,NA,17.6470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TIE H,6.89655172413793,NA,NA,1.72413793103448,NA,12.0689655172414,NA,NA,27.5862068965517,NA,NA,51.7241379310345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sadia Phase1,1.82,24.86,NA,35.47,NA,4.1,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prom anc.,NA,47,NA,NA,NA,21,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambere-Dougon 3,10,10,NA,NA,NA,NA,NA,10,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oudalan Fer moyen ,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,40,NA,NA,25,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Essouk A 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,50,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA
Akumbu 1,13.08980213,NA,NA,1.293759513,NA,2.96803653,NA,6.697108067,0.152207002,4.794520548,NA,16.66666667,NA,NA,NA,NA,NA,11.71993912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMD,8.37988826815642,NA,NA,5.02793296089385,1.675977653631285,6.14525139664804,NA,NA,18.4357541899441,NA,3.910614525139665,10.0558659217877,NA,NA,NA,NA,NA,8.93854748603352,3.910614525139665,41.899441340782126,NA,NA,NA,NA,NA,1.6759776536312847,3.910614525139665,3.35195530726257,1.6759776536312847,2.2346368715083798
