"label";"lat";"lon"
"Akumbu early";"15,07";"-5,581"
"Akumbu late";"15,07";"-5,581"
"Ambere-Dougon";"14,20";"-3,400"
"Ambere-Dougon 3";"14,20";"-3,400"
"Damassogou II";"14,30";"-3,200"
"Dia-Mara 3";"14,21";"-4,580"
"Dia-Mara 4";"14,22";"-4,570"
"Dia-Shoma 3";"14,21";"-4,570"
"Dia-Shoma 4";"14,22";"-4,580"
"Essouk";"18,77";"1,185"
"Essouk A 1";"18,77";"1,185"
"Gao-Saney";"16,29";"0,018"
"HAMB 3";"13,90";"-4,541"
"Hamb 4";"13,90";"-4,541"
"J-J 3";"13,89";"-4,540"
"J-J 4";"13,89";"-4,540"
"KWZ G";"15,78";"-4,470"
"KWZ H";"15,78";"-4,470"
"Kaniana 4";"13,91";"-4,569"
"Kokolo NE 2";"14,41";"-3,520"
"OUN T3";"14,45";"-3,300"
"OUN T4.2";"14,45";"-3,300"
"Prom anc.";"14,40";"-3,520"
"Prom recent";"14,40";"-3,520"
"Sadia";"14,08";"-3,617"
"Sadia Phase1";"14,08";"-3,617"
"TIE H";"13,69";"-5,410"
"TMD 3";"15,02";"-2,930"
"TMD 5";"15,02";"-2,930"
"TOD H";"14,52";"-4,141"
"TOG H";"13,89";"-4,450"
"TOG2";"13,58";"-5,992"
"Tellem";"14,45";"-3,300"
